,Tweets,len,ID,Date,Source,Likes,RTs
167,RT @BrendanSummers: Really excited for this project to get off the ground. Go to https://t.co/sjLZe3iorr to sign up to host one on your own…,140,996171663153750017,2018-05-14 23:33:27,Twitter for iPhone,0,17
168,RT @GuthrieGF: Police confront #PoorPeoplesCampaign outside US Congress. Hundreds of activists of all faiths are risking arrest. https://t.…,140,996139031808311296,2018-05-14 21:23:47,Twitter Web Client,0,356
169,"Yes-NBC just got funnier with this great, inclusive,diverse show and FOX made a huge mistake. The NINE NINE lives!… https://t.co/s5u5P0Y7XK",139,995165583833550848,2018-05-12 04:55:39,Twitter for iPhone,0,0
170,"RT @maziehirono: I grew up on a rice farm in rural Japan. When I arrived in Hawaii, I didn’t speak a word of English. John Kelly, you don’t…",140,995158483178795008,2018-05-12 04:27:26,Twitter for iPhone,0,21581
171,"RT @ChrisLu44: WH COS John Kelly says that immigrants from rural areas without English skills don’t integrate into the U.S.

My dad came fr…",140,995000905647915010,2018-05-11 18:01:16,Twitter for iPhone,0,7218
172,👇🏽👇🏽👇🏽 https://t.co/4qa7BlMEvm,30,994767277189984261,2018-05-11 02:32:55,Twitter for iPhone,0,0
173,"RT @MariaTeresa1: When you’re on the wrong side of history, it catches up to you. Congrats and thanks to the voters of #Mecklenburg who vot…",140,994580699691868160,2018-05-10 14:11:31,Twitter for iPhone,0,27
174,RT @letamericavote: Use our new #CapGownVote toolkit to get the young people in your life voting. https://t.co/DFiFIeIK6x https://t.co/b8A6…,140,993987054357897217,2018-05-08 22:52:35,Twitter for iPhone,0,27
175,This administration’s continuous disregard of experts’ advice  in their pursuit of xenophobic &amp; racist policies is… https://t.co/5qwjgquXc1,143,993986384678539264,2018-05-08 22:49:56,Twitter for iPhone,0,0
176,RT @JasonKander: VIDEO: Gerrymandering 101: why there’s hope in Michigan https://t.co/ohowJLitRD,96,993905902074855424,2018-05-08 17:30:07,Twitter Web Client,0,36
177,RT @OfficialCBC: .@NAACP #CBCDEMANDSJUSTICE https://t.co/azYKHUVQzz,67,993905800937639937,2018-05-08 17:29:43,Twitter Web Client,0,6
178,RT @letamericavote: Right now: the House Oversight Committee is holding a hearing on the citizenship question that would politicize the #20…,140,993905467029061632,2018-05-08 17:28:23,Twitter Web Client,0,17
179,"RT @HispanicCaucus: The @HispanicCaucus is committed to protecting an accurate #2020census from being subverted for political purposes.

Th…",140,993890539119538176,2018-05-08 16:29:04,Twitter Web Client,0,13
